Timestamp,"From 1 to 5, how do you feel after seeing trash in the forest?
(1 = very upset, 5 = very happy)","How do you rate the trash situation in the forest today? 
(1 = very bad, 5 = very good)","In general, where do you most often see trash in the forest?",Did you see any trash in the forest today?,Where did you see trash in the forest today?,What types of trash did you see today?,How many days per week do you visit the forest?,"In general, what activities do you do in the forest?",What activities did you do today?,"Which 2 activities do you think create the most waste in the forest?
Select up to 2.","From 1 to 5, how important are sports in the forest to you?
(1 = not important, 5 = very important)","In the forest, how often do you see trash (like wrappers or bottles) that seems to come from sports activities?
(1 = never, 5 = all the time)",Do you think sportspeople litter more than other forest users?,Do you think that big forest-sports events general create more waste in the forest? (Like races or bike tours),"In your opinion, what are the best measures against littering in the forest?
Select up to 2","Who should be responsible to remove trash from the forest? 
Pick the best answer.","On how many days per year should authorities remove trash from the forest?
(From 0 to 365)",What is your age in years?,What is your gender?
2025-06-01T13:38:44Z,2,5,"Along paths or trails, Around picnic areas or benches",Yes,Along paths or trails,Plastic Bottles,1,Walking / Running,Walking / Running,"Barbecue or Picnic, Camping",2,1,No,I'm not sure,"Removal by authorities, More trash bins",Pick up by the one who left it,12,20,Male
2025-06-01T18:52:44Z,1,3,"Along paths or trails, Around picnic areas or benches, Near parking lots",Yes,"Along paths or trails, Around picnic areas or benches","Paper or Cardboard, Food Packaging, Cigarette Butts, Dog waste bags",6,"Barbecue or Picnic, Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Camping",5,2,No,No,"Organized clean-up events, Volunteer forest rangers",Volunteers should pick it up,52,31,Male
2025-06-01T19:08:57Z,1,2,"Around picnic areas or benches, Near parking lots",Yes,Around picnic areas or benches,"Food Packaging, Cigarette Butts, Dog waste bags",5,"Barbecue or Picnic, Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Walking / Running",5,2,No,I'm not sure,"Removal by authorities, Organized clean-up events",Volunteers should pick it up,50,30,Male
2025-06-01T19:22:58Z,1,4,Around picnic areas or benches,Yes,"Along paths or trails, Around picnic areas or benches, Near parking lots","Paper or Cardboard, Plastic Bottles, Cans",5,Walking / Running,Walking / Running,"Barbecue or Picnic, Camping",5,1,No,Yes,"More trash bins, Fines for littering",Pick up by the one who left it,100,21,Female
2025-06-01T19:36:57Z,1,3,Around picnic areas or benches,No,NA,NA,7,"Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Camping",5,3,No,Yes,"Signs telling people to take their trash home, Fines for littering",Pick up by the one who left it,180,22,Male
2025-06-01T19:40:46Z,1,4,Around picnic areas or benches,No,NA,NA,3,Walking / Running,Walking / Running,Barbecue or Picnic,5,2,No,No,Fines for littering,Pick up by the one who left it,10,33,Male
2025-06-01T20:06:16Z,2,4,"Along paths or trails, Around picnic areas or benches",No,NA,NA,2,"Walking / Running, Photography",Walking / Running,"Barbecue or Picnic, Camping",5,1,No,I'm not sure,"More trash bins, Organized clean-up events",Pick up by the one who left it,10,19,Male
2025-06-01T20:18:43Z,1,4,Idk,No,NA,NA,6,Walking / Running,Walking / Running,"Barbecue or Picnic, Horse Riding",5,1,No,No,"Fines for littering, Volunteer forest rangers",Pick up by the one who left it,10,23,Male
2025-06-01T20:22:00Z,2,4,"Around picnic areas or benches, Near parking lots",Yes,Along paths or trails,"Paper or Cardboard, Cigarette Butts, Horse shit",6,"Walking / Running, Cycling / Biking","Walking / Running, Cycling / Biking","Barbecue or Picnic, Horse Riding",5,2,No,Yes,"More trash bins, Fines for littering",Pick up by the one who left it,12,22,Male
2025-06-01T20:22:02Z,2,4,Around picnic areas or benches,No,NA,NA,0,"Barbecue or Picnic, Camping, Walking / Running",None,"Barbecue or Picnic, Camping",3,1,No,I'm not sure,"Removal by authorities, Volunteer forest rangers",Pick up by the one who left it,18,26,Male
2025-06-01T23:00:37Z,1,2,"Along paths or trails, Around picnic areas or benches, Near parking lots",No,NA,NA,1,Walking / Running,Walking / Running,"Barbecue or Picnic, Camping",4,2,No,No,"Removal by authorities, Fines for littering",Pick up by the one who left it,14,20,Male
2025-06-02T13:42:00Z,2,4,Around picnic areas or benches,No,NA,NA,3,"Walking / Running, Cycling / Biking, Photography,","Walking / Running,","Barbecue or Picnic, Camping",4,2,I'm not sure,Yes,"More trash bins, Volunteer forest rangers",Pick up by the one who left it,40,20,Female
2025-06-02T13:42:25Z,2,3,"Along paths or trails, Around picnic areas or benches, Near parking lots",No,NA,NA,1,"Walking / Running, Cycling / Biking",Walking / Running,"Barbecue or Picnic, Camping",2,3,I'm not sure,Yes,"More trash bins, Organized clean-up events",I feel responsible to pick up waste,53,18,Male
2025-06-02T13:43:51Z,1,3,Around picnic areas or benches,Yes,Along paths or trails,Plastic Bottles,2,"Barbecue or Picnic, Camping, Walking / Running, Cycling / Biking",Walking / Running,Barbecue or Picnic,4,2,No,Yes,"More trash bins, Fines for littering",Pick up by the one who left it,52,26,Male
2025-06-02T13:44:57Z,1,4,"Around picnic areas or benches, Near parking lots",No,NA,NA,2,"Barbecue or Picnic, Walking / Running",Walking / Running,"Barbecue or Picnic, Camping",2,1,No,I'm not sure,"Removal by authorities, Fines for littering",Pick up by the one who left it,50,24,Female
2025-06-02T13:51:16Z,2,4,Around picnic areas or benches,No,NA,NA,4,Walking / Running,None,"Barbecue or Picnic, Horse Riding",5,2,No,I'm not sure,"Removal by authorities, More trash bins",Pick up by the one who left it,52,22,Male
2025-06-02T13:56:14Z,1,3,"Around picnic areas or benches, Near parking lots",No,NA,NA,2,"Barbecue or Picnic, Walking / Running",none,"Barbecue or Picnic, Camping",4,2,No,I'm not sure,"More trash bins, Fines for littering",Pick up by the one who left it,12,22,Female
2025-06-02T14:22:52Z,1,4,"Around picnic areas or benches, Near parking lots",No,NA,NA,2,"Barbecue or Picnic, Walking / Running",Walking / Running,"Barbecue or Picnic, Camping",4,2,I'm not sure,No,"More trash bins, Signs telling people to take their trash home",Pick up by the one who left it,30,22,Male
2025-06-02T14:42:06Z,1,3,"Around picnic areas or benches, Near parking lots",Yes,"Along paths or trails, Around picnic areas or benches, Near parking lots","Plastic Bottles, Cans, Cigarette Butts",3,"Walking / Running, Photography",Walking / Running,"Barbecue or Picnic, Camping",5,1,No,Yes,"Fines for littering, Organized clean-up events",Pick up by the one who left it,12,20,Male
2025-06-02T23:50:28Z,2,5,Around picnic areas or benches,No,NA,NA,1,"Barbecue or Picnic, Walking / Running, Cycling / Biking",â€®,"Barbecue or Picnic, Camping",1,1,No,No,"Removal by authorities, More trash bins",Pick up by authorities,6,22,Male
2025-06-03T09:20:55Z,1,2,"Along paths or trails, Around picnic areas or benches, Deeper in the forest",Yes,"Around picnic areas or benches, Deeper in the forest","Plastic Bottles, Cans, Food Packaging, Left-behind clothing items",4,"Walking / Running, Cycling / Biking, Gathering",Walking / Running,"Barbecue or Picnic, Walking / Running",5,2,I'm not sure,No,"Removal by authorities, Fines for littering",Pick up by authorities,52,34,Female
2025-06-04T08:44:57Z,1,3,"Along paths or trails, Near parking lots",No,NA,NA,2,"Walking / Running, dog walking","Walking / Running, dog walking","Barbecue or Picnic, Gathering",4,2,No,I'm not sure,"More trash bins, Organized clean-up events",Pick up by the one who left it,12,48,Female
2025-06-04T13:40:23Z,1,4,Around picnic areas or benches,No,NA,NA,3,"Barbecue or Picnic, Walking / Running",Walking / Running,"Barbecue or Picnic, Gathering",4,3,No,Yes,"Fines for littering, Organized clean-up events",Pick up by the one who left it,52,36,Female
2025-06-05T08:46:37Z,2,5,Along paths or trails,No,NA,NA,4,"Barbecue or Picnic, Walking / Running",Walking / Running,"Barbecue or Picnic, Camping",4,2,No,No,"Fines for littering, Organized clean-up events",Pick up by the one who left it,52,37,Male
